Stock Information for Ticker: FB
High         2.020886e+02
Low          1.974644e+02
Open         1.997521e+02
Close        1.998744e+02
Volume       2.030946e+07
Adj Close    1.998744e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    202.088649   197.464440   199.752122   199.874404  2.030946e+07   199.874404
std      61.474315    59.930320    60.630514    60.743177  1.239795e+07    60.743177
min     116.480003   113.550003   114.480003   115.050003  5.324760e+06   115.050003
25%     162.105000   157.687504   159.745003   159.700001  1.320985e+07   159.700001
50%     183.754997   179.930000   181.830002   181.744995  1.719975e+07   181.744995
75%     233.390003   227.282501   230.212502   231.397495  2.311872e+07   231.397495
max     384.329987   378.809998   381.500000   382.179993  1.698037e+08   382.179993


             ds       trend  yhat_lower  yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
63   2016-12-09  131.521457  113.641827  141.654382   131.521457   131.521457       -4.044513             -4.044513             -4.044513 -1.440414     -1.440414     -1.440414  -2.604099     -2.604099     -2.604099                   0.0                         0.0                         0.0  127.476944
64   2016-12-12  131.893433  113.139995  140.734000   131.893433   131.893433       -5.003520             -5.003520             -5.003520 -1.796236     -1.796236     -1.796236  -3.207285     -3.207285     -3.207285                   0.0                         0.0                         0.0  126.889913
65   2016-12-13  132.017425  112.861626  142.010800   132.017425   132.017425       -4.744979             -4.744979             -4.744979 -1.300205     -1.300205     -1.300205  -3.444774     -3.444774     -3.444774                   0.0                         0.0                         0.0  127.272446
66   2016-12-14  132.141417  113.223672  140.773286   132.141417   132.141417       -5.060491             -5.060491             -5.060491 -1.362021     -1.362021     -1.362021  -3.698470     -3.698470     -3.698470                   0.0                         0.0                         0.0  127.080926
67   2016-12-15  132.265409  113.101422  140.282327   132.265409   132.265409       -5.370618             -5.370618             -5.370618 -1.404170     -1.404170     -1.404170  -3.966448     -3.966448     -3.966448                   0.0                         0.0                         0.0  126.894791
68   2016-12-16  132.389401  113.710914  140.734724   132.389401   132.389401       -5.686737             -5.686737             -5.686737 -1.440414     -1.440414     -1.440414  -4.246324     -4.246324     -4.246324                   0.0                         0.0                         0.0  126.702664
69   2016-12-19  132.761377  111.257705  138.806869   132.761377   132.761377       -6.923643             -6.923643             -6.923643 -1.796236     -1.796236     -1.796236  -5.127408     -5.127408     -5.127408                   0.0                         0.0                         0.0  125.837734
70   2016-12-20  132.885369  112.286922  140.539427   132.885369   132.885369       -6.723475             -6.723475             -6.723475 -1.300205     -1.300205     -1.300205  -5.423270     -5.423270     -5.423270                   0.0                         0.0                         0.0  126.161894
71   2016-12-21  133.009361  111.790903  139.158523   133.009361   133.009361       -7.075797             -7.075797             -7.075797 -1.362021     -1.362021     -1.362021  -5.713777     -5.713777     -5.713777                   0.0                         0.0                         0.0  125.933564
72   2016-12-22  133.133353  112.025228  139.742610   133.133353   133.133353       -7.399025             -7.399025             -7.399025 -1.404170     -1.404170     -1.404170  -5.994854     -5.994854     -5.994854                   0.0                         0.0                         0.0  125.734328
73   2016-12-23  133.257345  111.579436  138.837543   133.257345   133.257345       -7.702818             -7.702818             -7.702818 -1.440414     -1.440414     -1.440414  -6.262404     -6.262404     -6.262404                   0.0                         0.0                         0.0  125.554527
74   2016-12-27  133.753313  110.184295  139.265631   133.753313   133.753313       -8.419657             -8.419657             -8.419657 -1.300205     -1.300205     -1.300205  -7.119452     -7.119452     -7.119452                   0.0                         0.0                         0.0  125.333656
75   2016-12-28  133.877305  112.195274  138.610017   133.877305   133.877305       -8.625217             -8.625217             -8.625217 -1.362021     -1.362021     -1.362021  -7.263196     -7.263196     -7.263196                   0.0                         0.0                         0.0  125.252088
76   2016-12-29  134.001297  111.576712  139.139969   134.001297   134.001297       -8.777361             -8.777361             -8.777361 -1.404170     -1.404170     -1.404170  -7.373190     -7.373190     -7.373190                   0.0                         0.0                         0.0  125.223936
77   2016-12-30  134.125289  111.816569  139.055138   134.125289   134.125289       -8.887951             -8.887951             -8.887951 -1.440414     -1.440414     -1.440414  -7.447537     -7.447537     -7.447537                   0.0                         0.0                         0.0  125.237338
78   2017-01-03  134.621257  111.072505  139.357668   134.621257   134.621257       -8.671999             -8.671999             -8.671999 -1.300205     -1.300205     -1.300205  -7.371794     -7.371794     -7.371794                   0.0                         0.0                         0.0  125.949258
79   2017-01-04  134.745249  111.926081  140.442420   134.745249   134.745249       -8.623108             -8.623108             -8.623108 -1.362021     -1.362021     -1.362021  -7.261088     -7.261088     -7.261088                   0.0                         0.0                         0.0  126.122141
80   2017-01-05  134.869241  112.012122  140.908814   134.869241   134.869241       -8.520733             -8.520733             -8.520733 -1.404170     -1.404170     -1.404170  -7.116562     -7.116562     -7.116562                   0.0                         0.0                         0.0  126.348508
81   2017-01-06  134.993233  112.745373  141.129382   134.993233   134.993233       -8.381165             -8.381165             -8.381165 -1.440414     -1.440414     -1.440414  -6.940752     -6.940752     -6.940752                   0.0                         0.0                         0.0  126.612068
