Stock Information for Ticker: NFLX
High         3.358255e+02
Low          3.258369e+02
Open         3.309005e+02
Close        3.310286e+02
Volume       7.682605e+06
Adj Close    3.310286e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    335.825508   325.836892   330.900469   331.028585  7.682605e+06   331.028585
std     136.380696   132.374693   134.375118   134.432008  5.080908e+06   134.432008
min      95.379997    93.260002    95.040001    94.559998  1.144000e+06    94.559998
25%     198.597496   194.365002   196.597500   196.072502  4.588450e+06   196.072502
50%     341.535004   330.909988   336.139999   336.764999  6.210600e+06   336.764999
75%     448.637497   432.650009   441.955002   440.182495  9.149925e+06   440.182495
max     613.849976   593.989990   594.690002   606.710022  5.841040e+07   606.710022


             ds       trend  yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
56   2016-11-28  124.109887   80.737025   127.646115   124.109887   124.109887      -19.862167            -19.862167            -19.862167  2.452267      2.452267      2.452267 -22.314434    -22.314434    -22.314434                   0.0                         0.0                         0.0  104.247721
57   2016-11-29  124.232894   82.310172   129.236778   124.232894   124.232894      -18.433010            -18.433010            -18.433010  4.021108      4.021108      4.021108 -22.454118    -22.454118    -22.454118                   0.0                         0.0                         0.0  105.799884
58   2016-11-30  124.355901   79.898625   128.045552   124.355901   124.355901      -19.519211            -19.519211            -19.519211  3.052514      3.052514      3.052514 -22.571726    -22.571726    -22.571726                   0.0                         0.0                         0.0  104.836690
59   2016-12-01  124.478908   80.304303   127.097816   124.478908   124.478908      -19.337016            -19.337016            -19.337016  3.327020      3.327020      3.327020 -22.664036    -22.664036    -22.664036                   0.0                         0.0                         0.0  105.141891
60   2016-12-02  124.601915   81.257774   127.656291   124.601915   124.601915      -20.264440            -20.264440            -20.264440  2.464035      2.464035      2.464035 -22.728475    -22.728475    -22.728475                   0.0                         0.0                         0.0  104.337475
61   2016-12-05  124.970935   81.731873   128.497338   124.970935   124.970935      -20.288033            -20.288033            -20.288033  2.452267      2.452267      2.452267 -22.740299    -22.740299    -22.740299                   0.0                         0.0                         0.0  104.682902
62   2016-12-06  125.093942   82.265963   131.648141   125.093942   125.093942      -18.661996            -18.661996            -18.661996  4.021108      4.021108      4.021108 -22.683104    -22.683104    -22.683104                   0.0                         0.0                         0.0  106.431946
63   2016-12-07  125.216949   83.222269   128.004536   125.216949   125.216949      -19.544553            -19.544553            -19.544553  3.052514      3.052514      3.052514 -22.597068    -22.597068    -22.597068                   0.0                         0.0                         0.0  105.672395
64   2016-12-08  125.339955   81.470940   130.075584   125.339955   125.339955      -19.157336            -19.157336            -19.157336  3.327020      3.327020      3.327020 -22.484356    -22.484356    -22.484356                   0.0                         0.0                         0.0  106.182619
65   2016-12-09  125.462962   82.278184   130.587778   125.462962   125.462962      -19.883728            -19.883728            -19.883728  2.464035      2.464035      2.464035 -22.347763    -22.347763    -22.347763                   0.0                         0.0                         0.0  105.579235
