Stock Information for Ticker: TSLA
High         1.964112e+02
Low          1.878469e+02
Open         1.922876e+02
Close        1.923936e+02
Volume       4.441423e+07
Adj Close    1.923936e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    196.411180   187.846851   192.287628   192.393562  4.441423e+07   192.393562
std     240.219441   229.904260   235.359001   235.411583  3.034186e+07   235.411583
min      36.945999    35.397999    36.220001    35.793999  9.387500e+06    35.793999
25%      56.757999    54.983500    55.746999    55.819499  2.474150e+07    55.819499
50%      68.577000    66.043999    67.264000    67.103001  3.496850e+07    67.103001
75%     196.346500   182.348003   187.176498   189.521496  5.211238e+07   189.521496
max     900.400024   871.599976   891.380005   883.090027  3.046940e+08   883.090027


             ds        trend   yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper         yhat
33   2016-10-26    30.909413   -41.463102    72.852923    30.909413    30.909413      -15.137762            -15.137762            -15.137762 -3.286707     -3.286707     -3.286707 -11.851055    -11.851055    -11.851055                   0.0                         0.0                         0.0    15.771651
34   2016-10-27    31.088563   -41.434280    73.081457    31.088563    31.088563      -16.017179            -16.017179            -16.017179 -3.668538     -3.668538     -3.668538 -12.348640    -12.348640    -12.348640                   0.0                         0.0                         0.0    15.071385
35   2016-10-28    31.267714   -45.494702    72.272302    31.267714    31.267714      -17.105178            -17.105178            -17.105178 -4.229679     -4.229679     -4.229679 -12.875499    -12.875499    -12.875499                   0.0                         0.0                         0.0    14.162536
36   2016-10-31    31.805165   -43.379784    72.583065    31.805165    31.805165      -16.745023            -16.745023            -16.745023 -2.244307     -2.244307     -2.244307 -14.500716    -14.500716    -14.500716                   0.0                         0.0                         0.0    15.060142
37   2016-11-01    31.984315   -42.620955    73.893661    31.984315    31.984315      -17.858036            -17.858036            -17.858036 -2.851961     -2.851961     -2.851961 -15.006075    -15.006075    -15.006075                   0.0                         0.0                         0.0    14.126279
38   2016-11-02    32.163465   -42.649677    71.053019    32.163465    32.163465      -18.751714            -18.751714            -18.751714 -3.286707     -3.286707     -3.286707 -15.465007    -15.465007    -15.465007                   0.0                         0.0                         0.0    13.411751
39   2016-11-03    32.342615   -43.852281    67.933006    32.342615    32.342615      -19.528368            -19.528368            -19.528368 -3.668538     -3.668538     -3.668538 -15.859830    -15.859830    -15.859830                   0.0                         0.0                         0.0    12.814247
40   2016-11-04    32.521766   -43.444908    73.387550    32.521766    32.521766      -20.402661            -20.402661            -20.402661 -4.229679     -4.229679     -4.229679 -16.172982    -16.172982    -16.172982                   0.0                         0.0                         0.0    12.119105
41   2016-11-07    33.059217   -44.599270    71.939376    33.059217    33.059217      -18.702310            -18.702310            -18.702310 -2.244307     -2.244307     -2.244307 -16.458003    -16.458003    -16.458003                   0.0                         0.0                         0.0    14.356907
42   2016-11-08    33.238367   -43.371766    75.874589    33.238367    33.238367      -19.138848            -19.138848            -19.138848 -2.851961     -2.851961     -2.851961 -16.286887    -16.286887    -16.286887                   0.0                         0.0                         0.0    14.099519
43   2016-11-09    33.417517   -43.769120    72.332429    33.417517    33.417517      -19.250270            -19.250270            -19.250270 -3.286707     -3.286707     -3.286707 -15.963563    -15.963563    -15.963563                   0.0                         0.0                         0.0    14.167247
44   2016-11-10    33.596668   -41.908455    68.730544    33.596668    33.596668      -19.148735            -19.148735            -19.148735 -3.668538     -3.668538     -3.668538 -15.480197    -15.480197    -15.480197                   0.0                         0.0                         0.0    14.447933
45   2016-11-11    33.775818   -42.143411    70.356656    33.775818    33.775818      -19.061471            -19.061471            -19.061471 -4.229679     -4.229679     -4.229679 -14.831792    -14.831792    -14.831792                   0.0                         0.0                         0.0    14.714347
46   2016-11-14    34.313269   -36.454912    75.652301    34.313269    34.313269      -14.136991            -14.136991            -14.136991 -2.244307     -2.244307     -2.244307 -11.892684    -11.892684    -11.892684                   0.0                         0.0                         0.0    20.176278
47   2016-11-15    34.492419   -38.345648    82.230788    34.492419    34.492419      -13.448389            -13.448389            -13.448389 -2.851961     -2.851961     -2.851961 -10.596428    -10.596428    -10.596428                   0.0                         0.0                         0.0    21.044031
48   2016-11-16    34.671570   -34.348111    80.294036    34.671570    34.671570      -12.443858            -12.443858            -12.443858 -3.286707     -3.286707     -3.286707  -9.157151     -9.157151     -9.157151                   0.0                         0.0                         0.0    22.227712
